dimension,function,algorithm_internal,run,best_cost
1000,f1_sphere,Original PSO,0,3815709.369280589
1000,f1_sphere,Original PSO,1,3935859.0230704127
1000,f1_sphere,Original PSO,2,3672846.012162444
1000,f1_sphere,Original PSO,3,3720937.3657051586
1000,f1_sphere,Original PSO,4,3972221.5420274055
1000,f1_sphere,Original PSO,5,3895609.085355313
1000,f1_sphere,Original PSO,6,3898303.697955
1000,f1_sphere,Original PSO,7,3670886.8075174056
1000,f1_sphere,Original PSO,8,4107836.021022969
1000,f1_sphere,Original PSO,9,3576010.2626993046
1000,f1_sphere,Original PSO,10,3996795.528721991
1000,f1_sphere,Original PSO,11,3962678.609653496
1000,f1_sphere,Original PSO,12,3780481.067079195
1000,f1_sphere,Original PSO,13,3686960.883603967
1000,f1_sphere,Original PSO,14,3899566.572142205
1000,f1_sphere,Original PSO,15,3869454.8598472797
1000,f1_sphere,Original PSO,16,3853325.7332727294
1000,f1_sphere,Original PSO,17,4071457.374746496
1000,f1_sphere,Original PSO,18,3586316.507942818
1000,f1_sphere,Original PSO,19,3733373.974381716
1000,f1_sphere,PSO-m,0,2285732.2928414047
1000,f1_sphere,PSO-m,1,2178162.965895994
1000,f1_sphere,PSO-m,2,1991572.2725700177
1000,f1_sphere,PSO-m,3,2147876.253468342
1000,f1_sphere,PSO-m,4,2056583.428981733
1000,f1_sphere,PSO-m,5,2230349.5619667387
1000,f1_sphere,PSO-m,6,2110384.630480582
1000,f1_sphere,PSO-m,7,2158719.4098185115
1000,f1_sphere,PSO-m,8,2263858.6033103047
1000,f1_sphere,PSO-m,9,2180866.8548275223
1000,f1_sphere,PSO-m,10,2175229.6865854017
1000,f1_sphere,PSO-m,11,2147703.5273873964
1000,f1_sphere,PSO-m,12,2142129.45930831
1000,f1_sphere,PSO-m,13,2231331.3262592205
1000,f1_sphere,PSO-m,14,1951316.7476217877
1000,f1_sphere,PSO-m,15,2247292.970507201
1000,f1_sphere,PSO-m,16,2121177.146387673
1000,f1_sphere,PSO-m,17,2145591.877006149
1000,f1_sphere,PSO-m,18,2183503.64504698
1000,f1_sphere,PSO-m,19,2306517.6508544153
1000,f1_sphere,PSO-RIW,0,3814980.4695144333
1000,f1_sphere,PSO-RIW,1,3721273.252465617
1000,f1_sphere,PSO-RIW,2,3507941.3418444735
1000,f1_sphere,PSO-RIW,3,3616131.5283501367
1000,f1_sphere,PSO-RIW,4,3676385.4949872172
1000,f1_sphere,PSO-RIW,5,3770771.8191129817
1000,f1_sphere,PSO-RIW,6,3528637.286662272
1000,f1_sphere,PSO-RIW,7,3232220.5177472783
1000,f1_sphere,PSO-RIW,8,3585109.97929468
1000,f1_sphere,PSO-RIW,9,3314824.0277633034
