Function,Row,PSO,PSO-M,PSO-RIW,HPPSO,GA-MPC,GWO,SHADE,CSA,CMAES
f10_levy,mean,2.20E+03,2.42E+03,2.65E+03,4.31E+03,7.20E+02,5.93E+02,3.51E+00,1.08E+04,6.33E-02
,std,1.00E+03,1.44E+03,1.15E+03,1.50E+03,6.69E+02,3.22E+02,3.31E+00,4.27E+03,1.65E-01
,rank,5,6,7,8,4,3,2,9,1
f11_schwefel_2_26,mean,1.06E+04,1.04E+04,1.06E+04,1.07E+04,1.00E+04,1.03E+04,9.94E+03,1.12E+04,9.99E+03
,std,1.44E+02,1.91E+02,2.18E+02,2.54E+02,1.20E+02,1.51E+02,1.49E+02,2.96E+02,2.12E+02
,rank,7,5,6,8,3,4,1,9,2
f12_styblinski_tang,mean,1.82E+07,2.50E+05,1.08E+07,-1.04E+03,6.19E+05,2.39E+05,-9.88E+02,5.44E+07,-1.05E+03
,std,1.98E+07,2.35E+05,9.33E+06,3.83E+01,8.49E+05,2.31E+05,3.15E+01,6.52E+07,3.07E+01
,rank,8,5,7,2,6,4,3,9,1
f13_michalewicz,mean,-8.82E+00,-6.83E+00,-8.89E+00,-7.93E+00,-1.90E+01,-6.02E+00,-1.95E+01,-8.80E+00,-8.01E+00
,std,1.90E+00,9.59E-01,1.48E+00,1.60E+00,1.86E+00,5.96E-01,1.05E+00,2.22E+00,1.21E+00
,rank,4,8,3,7,2,9,1,5,6
f14_alpine_1,mean,6.71E+01,1.57E+02,4.09E+01,9.93E+01,8.22E+00,1.19E+02,1.08E+01,3.31E+02,3.75E-01
,std,4.10E+01,7.65E+01,3.48E+01,3.21E+01,7.51E+00,6.10E+01,4.25E+00,7.73E+01,1.39E+00
,rank,5,8,4,6,2,7,3,9,1
f15_happy_cat,mean,2.43E+02,3.53E+01,2.16E+02,6.58E-01,1.47E+00,3.46E+01,4.70E-01,7.52E+02,2.15E-01
,std,1.32E+02,2.48E+01,1.62E+02,1.40E-01,1.51E+00,1.59E+01,1.25E-01,4.60E+02,3.87E-02
,rank,8,6,7,3,4,5,2,9,1
f16_hgbat,mean,9.28E+03,1.61E+03,5.30E+03,6.53E-01,2.88E+02,1.33E+03,5.58E-01,2.78E+04,4.85E-01
,std,5.92E+03,1.12E+03,5.27E+03,2.44E-01,5.91E+02,8.38E+02,2.81E-01,1.32E+04,6.70E-02
,rank,8,6,7,3,4,5,2,9,1
f17_bent_cigar,mean,1.02E+10,1.90E+09,7.49E+09,4.48E+04,8.17E+07,1.27E+09,2.26E-02,1.96E+10,5.34E+00
,std,6.65E+09,1.83E+09,6.76E+09,3.21E+04,2.73E+08,8.45E+08,3.84E-02,1.30E+10,7.36E+00
,rank,8,6,7,3,4,5,1,9,2
f18_discus,mean,3.62E+04,1.67E+04,2.85E+04,1.57E+00,1.49E+03,3.42E+04,3.29E-08,1.61E+05,2.27E+04
,std,2.67E+04,1.77E+04,2.13E+04,2.92E+00,3.22E+03,1.20E+04,4.82E-08,8.90E+04,1.11E+04
,rank,8,4,6,2,3,7,1,9,5
f19_penalized_1,mean,1.70E+09,1.22E+06,1.34E+09,1.61E+00,1.22E+08,6.85E+06,8.76E+00,1.58E+10,9.23E-05
