Function,Row,PSO,PSO-M,PSO-RIW,HPPSO,GA-MPC,GWO,SHADE,CSA,SEP-CMAES
f10_levy,mean,1.22E+06,1.40E+06,1.20E+06,9.22E+05,9.50E+05,9.59E+05,9.51E+05,1.47E+06,
,std,8.01E+04,8.98E+04,7.64E+04,5.79E+04,4.53E+04,6.99E+04,4.03E+04,1.92E+05,
,rank,7,8,6,2,3,5,4,9,
f11_schwefel_2_26,mean,3.94E+05,3.87E+05,3.93E+05,3.78E+05,3.87E+05,3.94E+05,3.77E+05,4.10E+05,
,std,1.60E+03,2.43E+03,1.86E+03,1.24E+03,2.10E+03,3.64E+03,2.09E+03,2.58E+03,
,rank,7,5,6,3,4,8,2,9,
f12_styblinski_tang,mean,2.28E+10,9.51E+09,2.09E+10,2.64E+09,1.22E+10,6.29E+09,6.69E+09,2.07E+10,
,std,1.42E+09,7.22E+08,2.71E+09,3.14E+08,1.07E+09,2.08E+08,4.93E+08,4.98E+09,
,rank,9,5,8,2,6,3,4,7,
f13_michalewicz,mean,-4.24E+01,-3.56E+01,-4.35E+01,-4.29E+01,-1.07E+02,-3.32E+01,-8.91E+01,-4.96E+01,
,std,5.91E+00,4.39E+00,6.49E+00,1.02E+01,8.26E+00,2.85E+00,2.42E+00,7.79E+00,
,rank,6,7,4,5,1,8,2,3,
f14_alpine_1,mean,2.74E+04,3.19E+04,2.68E+04,2.63E+04,2.44E+04,2.90E+04,2.61E+04,3.45E+04,
,std,1.05E+03,1.49E+03,7.79E+02,9.94E+02,7.01E+02,1.51E+03,6.33E+02,1.80E+03,
,rank,6,8,5,4,2,7,3,9,
f15_happy_cat,mean,1.97E+03,1.12E+03,1.93E+03,7.11E+02,1.50E+03,1.18E+03,1.07E+03,2.07E+03,
,std,7.86E+01,5.22E+01,1.55E+02,6.00E+01,4.84E+01,2.46E+01,3.79E+01,1.58E+02,
,rank,8,4,7,2,6,5,3,9,
f16_hgbat,mean,3.86E+06,2.16E+06,3.70E+06,1.29E+06,2.85E+06,2.25E+06,2.07E+06,4.23E+06,
,std,1.54E+05,9.00E+04,1.91E+05,9.32E+04,1.12E+05,4.78E+04,1.10E+05,4.23E+05,
,rank,8,4,7,2,6,5,3,9,
f17_bent_cigar,mean,3.85E+12,2.14E+12,3.72E+12,1.35E+12,2.90E+12,2.27E+12,2.15E+12,4.09E+12,
,std,1.70E+11,8.91E+10,3.00E+11,8.72E+10,1.48E+11,5.68E+10,7.63E+10,2.74E+11,
,rank,8,3,7,2,6,5,4,9,
f18_discus,mean,4.75E+06,4.31E+06,4.83E+06,1.66E+06,3.30E+06,2.99E+06,2.48E+06,6.83E+06,
,std,2.98E+05,2.59E+05,3.98E+05,1.17E+05,1.94E+05,5.56E+04,1.21E+05,1.91E+06,
,rank,6,5,7,1,4,3,2,9,
f19_penalized_1,mean,3.12E+12,1.29E+12,2.88E+12,2.58E+11,1.54E+12,7.19E+11,7.80E+11,3.08E+12,
,std,3.10E+11,1.32E+11,3.35E+11,2.91E+10,1.20E+11,2.14E+10,4.76E+10,1.02E+12,
,rank,9,5,7,2,6,3,4,8,
f1_sphere,mean,3.84E+06,2.16E+06,3.66E+06,1.30E+06,2.88E+06,2.23E+06,2.08E+06,4.23E+06,
