dimension,function,algorithm_internal,run,best_cost
30,f1_sphere,Original PSO,0,9910.296642038356
30,f1_sphere,Original PSO,1,4904.374206279388
30,f1_sphere,Original PSO,2,6087.990568192086
30,f1_sphere,Original PSO,3,8168.142014402519
30,f1_sphere,Original PSO,4,9781.192285980102
30,f1_sphere,Original PSO,5,17615.124696349085
30,f1_sphere,Original PSO,6,15035.958626483849
30,f1_sphere,Original PSO,7,12945.038120286272
30,f1_sphere,Original PSO,8,18183.664612285447
30,f1_sphere,Original PSO,9,8617.022683331714
30,f1_sphere,Original PSO,10,16190.773066623819
30,f1_sphere,Original PSO,11,11460.932524348553
30,f1_sphere,Original PSO,12,17542.093780021776
30,f1_sphere,Original PSO,13,33385.58945553172
30,f1_sphere,Original PSO,14,14534.326629550122
30,f1_sphere,Original PSO,15,3841.501876471578
30,f1_sphere,Original PSO,16,40385.93008104036
30,f1_sphere,Original PSO,17,1878.90405605201
30,f1_sphere,Original PSO,18,5047.225847743386
30,f1_sphere,Original PSO,19,27372.44788453451
30,f1_sphere,PSO-m,0,376.8491042875188
30,f1_sphere,PSO-m,1,1900.2612634308873
30,f1_sphere,PSO-m,2,821.1551676109318
30,f1_sphere,PSO-m,3,351.1722735258888
30,f1_sphere,PSO-m,4,4695.748667543852
30,f1_sphere,PSO-m,5,2865.1032011940147
30,f1_sphere,PSO-m,6,6976.319546494053
30,f1_sphere,PSO-m,7,4680.691234403894
30,f1_sphere,PSO-m,8,2668.7702633201056
30,f1_sphere,PSO-m,9,1502.808510370513
30,f1_sphere,PSO-m,10,1957.3627825567455
30,f1_sphere,PSO-m,11,2898.505069687864
30,f1_sphere,PSO-m,12,3022.698917170936
30,f1_sphere,PSO-m,13,3146.217492146831
30,f1_sphere,PSO-m,14,3316.8440226341295
30,f1_sphere,PSO-m,15,2150.088792846979
30,f1_sphere,PSO-m,16,4897.658369273062
30,f1_sphere,PSO-m,17,3917.774965223845
30,f1_sphere,PSO-m,18,3628.4854051850607
30,f1_sphere,PSO-m,19,4691.828736742506
30,f1_sphere,PSO-RIW,0,6677.812267235953
30,f1_sphere,PSO-RIW,1,12622.920222660006
30,f1_sphere,PSO-RIW,2,8183.094979237204
30,f1_sphere,PSO-RIW,3,10235.466670233767
30,f1_sphere,PSO-RIW,4,7557.649581851039
30,f1_sphere,PSO-RIW,5,4365.196872869378
30,f1_sphere,PSO-RIW,6,7806.357492099197
30,f1_sphere,PSO-RIW,7,5783.378334276444
30,f1_sphere,PSO-RIW,8,14787.737381593175
30,f1_sphere,PSO-RIW,9,2918.336793611912
30,f1_sphere,PSO-RIW,10,5059.308313488119
30,f1_sphere,PSO-RIW,11,15205.426356948257
30,f1_sphere,PSO-RIW,12,44346.30855460385
30,f1_sphere,PSO-RIW,13,6631.17226049382
