function,algorithm_internal,algorithm,mean,std,n_runs,rank
f10_levy,CMAES,CMAES,393212.76192489977,36678.09431445009,20,1.0
f10_levy,HPPSO_Modified,HPPSO,922304.6671577984,57859.63261001562,20,2.0
f10_levy,GA-MPC,GA-MPC,950456.5410271094,45348.83808683664,20,3.0
f10_levy,SHADE,SHADE,950573.9252222242,40327.39303353989,20,4.0
f10_levy,GWO,GWO,959453.6038223341,69903.95149619007,20,5.0
f10_levy,PSO-RIW,PSO-RIW,1195038.495554998,76446.31529344148,20,6.0
f10_levy,Original PSO,PSO,1216408.8406854745,80091.00719570606,20,7.0
f10_levy,PSO-m,PSO-M,1400991.631308447,89778.75804263177,20,8.0
f10_levy,CSA,CSA,1469580.2589020147,192288.10139704854,20,9.0
f11_schwefel_2_26,CMAES,CMAES,371745.6696846038,1281.5878084685523,20,1.0
f11_schwefel_2_26,SHADE,SHADE,377270.22376908985,2093.3173700828156,20,2.0
f11_schwefel_2_26,HPPSO_Modified,HPPSO,377719.7854770676,1240.9938805996164,20,3.0
f11_schwefel_2_26,GA-MPC,GA-MPC,386648.1573581573,2097.1315862169668,20,4.0
f11_schwefel_2_26,PSO-m,PSO-M,387405.37825936003,2434.1883900712214,20,5.0
f11_schwefel_2_26,PSO-RIW,PSO-RIW,393027.7565849521,1863.2184683309627,20,6.0
f11_schwefel_2_26,Original PSO,PSO,394023.6260380539,1601.322409665122,20,7.0
f11_schwefel_2_26,GWO,GWO,394102.0726662408,3636.5347206233205,20,8.0
f11_schwefel_2_26,CSA,CSA,409621.62142253073,2578.270968295368,20,9.0
f12_styblinski_tang,CMAES,CMAES,33648990.00406946,3678461.2763436143,20,1.0
f12_styblinski_tang,HPPSO_Modified,HPPSO,2644579812.0221224,314450443.07796925,20,2.0
f12_styblinski_tang,GWO,GWO,6291406153.688767,207741937.9579869,20,3.0
f12_styblinski_tang,SHADE,SHADE,6685571738.439503,493069196.43739575,20,4.0
f12_styblinski_tang,PSO-m,PSO-M,9514300127.941935,721954250.1412652,20,5.0
f12_styblinski_tang,GA-MPC,GA-MPC,12154465879.028822,1068022468.684483,20,6.0
f12_styblinski_tang,CSA,CSA,20691176096.97891,4977475287.620446,20,7.0
f12_styblinski_tang,PSO-RIW,PSO-RIW,20902959958.23627,2708801989.095987,20,8.0
f12_styblinski_tang,Original PSO,PSO,22785634599.03252,1416520486.479254,20,9.0
f13_michalewicz,GA-MPC,GA-MPC,-107.35102078685858,8.257031563881373,20,1.0
f13_michalewicz,SHADE,SHADE,-89.05853887908796,2.4222668981830213,20,2.0
f13_michalewicz,CSA,CSA,-49.6358596432452,7.790997017348621,20,3.0
f13_michalewicz,PSO-RIW,PSO-RIW,-43.524698889372274,6.4942026253016465,20,4.0
f13_michalewicz,HPPSO_Modified,HPPSO,-42.92582679169209,10.209280694145558,20,5.0
f13_michalewicz,Original PSO,PSO,-42.37238277160186,5.907093064918633,20,6.0
f13_michalewicz,PSO-m,PSO-M,-35.56359600278861,4.392889604067008,20,7.0
f13_michalewicz,GWO,GWO,-33.18398902061156,2.8523306464352394,20,8.0
f13_michalewicz,CMAES,CMAES,-31.35085350043236,1.8900515090462155,20,9.0
f14_alpine_1,CMAES,CMAES,20394.127149298303,908.6849814624834,20,1.0
f14_alpine_1,GA-MPC,GA-MPC,24396.791540880025,700.6384742920328,20,2.0
f14_alpine_1,SHADE,SHADE,26077.21505552783,632.7574570259553,20,3.0
f14_alpine_1,HPPSO_Modified,HPPSO,26309.661617194273,993.7044867490085,20,4.0
f14_alpine_1,PSO-RIW,PSO-RIW,26845.6197431189,779.4809759817352,20,5.0
f14_alpine_1,Original PSO,PSO,27382.25600596749,1050.5396220354962,20,6.0
f14_alpine_1,GWO,GWO,28989.963813513128,1513.867043492991,20,7.0
f14_alpine_1,PSO-m,PSO-M,31903.512576957997,1494.1905174724027,20,8.0
f14_alpine_1,CSA,CSA,34469.63498039581,1798.1871286877645,20,9.0
f15_happy_cat,CMAES,CMAES,66.29272242839963,2.9579012234773114,20,1.0
f15_happy_cat,HPPSO_Modified,HPPSO,710.8224159121102,59.98854066878249,20,2.0
f15_happy_cat,SHADE,SHADE,1072.20113756361,37.9180543859284,20,3.0
f15_happy_cat,PSO-m,PSO-M,1118.5490555918514,52.247152896419074,20,4.0
f15_happy_cat,GWO,GWO,1182.2612680702834,24.584480746892478,20,5.0
f15_happy_cat,GA-MPC,GA-MPC,1497.8730013102604,48.43281924132128,20,6.0
f15_happy_cat,PSO-RIW,PSO-RIW,1931.6355849502465,154.89561166019953,20,7.0
f15_happy_cat,Original PSO,PSO,1967.4287209062131,78.62732428593516,20,8.0
f15_happy_cat,CSA,CSA,2071.995140724667,158.3202145559077,20,9.0
f16_hgbat,CMAES,CMAES,96661.2470241428,6356.808637476169,20,1.0
